Q_true,Q_tested,Q_selected,hidden,lr,neg_ratio,ELBO,AIC,BIC,ICL,ARI,NMI,eta_H,Pi_H,graph_idx
4,3,3,[16],0.005,1,-3844.517333984375,-6020.4033203125,-7162.547089751656,-5736.367623570945,0.6955647036605497,0.8319455412117445,28.469108556579965,,0
4,4,3,[16],0.005,1,-3766.7294921875,-6413.7734375,-8134.310526078216,-5990.380609597409,0.6877879068980014,0.8165955860522764,25.58996462229479,0.2304502256214619,0
4,5,3,[16],0.005,1,-3860.360107421875,-6465.904296875,-8772.156139011757,-5905.815055021113,0.598774146232752,0.6451886468146188,25.269077265193474,,0
4,6,3,[16],0.005,1,-3878.5380859375,-6710.94140625,-9610.229436364782,-6016.816467654558,0.6346335841704994,0.7060263262678245,24.613729628536635,,0
4,3,5,[16],0.005,3,-5590.12353515625,-5353.58203125,-6495.725800689156,-5069.546334508445,0.7037555899500193,0.855013142756906,27.48839036443336,,0
4,4,5,[16],0.005,3,-5473.47607421875,-5401.5908203125,-7122.127908890716,-4978.197992409909,0.6901548158229611,0.7899918808753175,23.690651041906822,0.06214492842555046,0
4,5,5,[16],0.005,3,-5368.248046875,-5063.21484375,-7369.466685886758,-4503.125601896113,1.0,1.0,19.117769892404446,,0
4,6,5,[16],0.005,3,-5143.3330078125,-5106.4931640625,-8005.781194177282,-4412.368225467058,1.0,1.0,15.591956491712429,,0
4,3,5,[16],0.005,5,-5590.123046875,-5353.58203125,-6495.725800689156,-5069.546334508445,0.7037555899500193,0.855013142756906,27.48839162944497,,0
4,4,5,[16],0.005,5,-5473.4765625,-5401.59130859375,-7122.128397171966,-4978.198480691159,0.6901548158229611,0.7899918808753175,23.690656219293764,0.06214493960142135,0
4,5,5,[16],0.005,5,-5368.24853515625,-5063.21484375,-7369.466685886758,-4503.125601896113,1.0,1.0,19.117770696850794,,0
4,6,5,[16],0.005,5,-5143.33251953125,-5106.4931640625,-8005.781194177282,-4412.368225467058,1.0,1.0,15.591944515830766,,0
